[Name]
Hub to Shroud Chart Line at Hub to Shroud Line

[Data]
Velocity Axial MCA on Hub to Shroud Line [ m s^-1 ],Span Normalized
1.42434509e+02, -7.46052251e-07
1.52523468e+02, 4.00008485e-02
1.64236572e+02, 8.00007582e-02
1.66585846e+02, 1.20000668e-01
1.68014374e+02, 1.60000488e-01
1.69463318e+02, 2.00000256e-01
1.70959473e+02, 2.40001425e-01
1.72409668e+02, 2.80000925e-01
1.73795380e+02, 3.20000589e-01
1.75075577e+02, 3.60000074e-01
1.76259903e+02, 3.99999619e-01
1.77490540e+02, 4.40000594e-01
1.78780975e+02, 4.80000019e-01
1.79931870e+02, 5.19999444e-01
1.80934479e+02, 5.59999049e-01
1.82006622e+02, 5.99999785e-01
1.83145905e+02, 6.39999151e-01
1.84339249e+02, 6.79998636e-01
1.85586395e+02, 7.19998240e-01
1.86835175e+02, 7.59998083e-01
1.88182251e+02, 7.99998939e-01
1.89802628e+02, 8.39998543e-01
1.91701202e+02, 8.79998565e-01
1.93922089e+02, 9.19998229e-01
1.89599396e+02, 9.59998667e-01
1.84055054e+02, 1.00000072e+00


