[Name]
Hub to Shroud Chart Line at Hub to Shroud Line

[Data]
Velocity in Stn Frame Circumferential MCA on Hub to Shroud Line [ m s^-1 ],Span Normalized
-2.90473551e-03, -7.46052251e-07
-9.43546533e-04, 4.00008485e-02
1.19242258e-03, 8.00007582e-02
9.79868462e-04, 1.20000668e-01
1.72006001e-03, 1.60000488e-01
2.49713566e-03, 2.00000256e-01
1.68935861e-03, 2.40001425e-01
1.21203437e-03, 2.80000925e-01
5.47769247e-04, 3.20000589e-01
-1.50467060e-03, 3.60000074e-01
-2.59996112e-03, 3.99999619e-01
-2.84914253e-03, 4.40000594e-01
-2.42027757e-03, 4.80000019e-01
-4.02034028e-03, 5.19999444e-01
-6.44525792e-03, 5.59999049e-01
-7.14491820e-03, 5.99999785e-01
-1.30404867e-02, 6.39999151e-01
-1.86476260e-02, 6.79998636e-01
-1.99938677e-02, 7.19998240e-01
-2.10078266e-02, 7.59998083e-01
-1.69100650e-02, 7.99998939e-01
-1.63381547e-02, 8.39998543e-01
-1.40243359e-02, 8.79998565e-01
-2.06540339e-03, 9.19998229e-01
2.07685516e-04, 9.59998667e-01
-3.39346146e-03, 1.00000072e+00


