[Name]
Hub to Shroud Chart Line at Hub to Shroud Line

[Data]
Total Temperature in Stn Frame MCA on Hub to Shroud Line [ K ],Span Normalized
2.88115387e+02, -7.46052251e-07
2.88146271e+02, 4.00008485e-02
2.88164001e+02, 8.00007582e-02
2.88150452e+02, 1.20000668e-01
2.88150055e+02, 1.60000488e-01
2.88150055e+02, 2.00000256e-01
2.88150055e+02, 2.40001425e-01
2.88150055e+02, 2.80000925e-01
2.88150055e+02, 3.20000589e-01
2.88150055e+02, 3.60000074e-01
2.88150055e+02, 3.99999619e-01
2.88150055e+02, 4.40000594e-01
2.88150055e+02, 4.80000019e-01
2.88150055e+02, 5.19999444e-01
2.88150085e+02, 5.59999049e-01
2.88150085e+02, 5.99999785e-01
2.88150085e+02, 6.39999151e-01
2.88150085e+02, 6.79998636e-01
2.88150085e+02, 7.19998240e-01
2.88150085e+02, 7.59998083e-01
2.88150146e+02, 7.99998939e-01
2.88150146e+02, 8.39998543e-01
2.88150146e+02, 8.79998565e-01
2.88153870e+02, 9.19998229e-01
2.88148773e+02, 9.59998667e-01
2.88139923e+02, 1.00000072e+00


