[Name]
Hub to Shroud Chart Line at Hub to Shroud Line

[Data]
Velocity in Stn Frame Flow Angle MCA on Hub to Shroud Line [ degree ],Span Normalized
9.00011749e+01, -7.46052251e-07
9.00004196e+01, 4.00008485e-02
8.99995956e+01, 8.00007582e-02
8.99996643e+01, 1.20000668e-01
8.99994278e+01, 1.60000488e-01
8.99991760e+01, 2.00000256e-01
8.99994583e+01, 2.40001425e-01
8.99996414e+01, 2.80000925e-01
8.99998932e+01, 3.20000589e-01
9.00005569e+01, 3.60000074e-01
9.00008850e+01, 3.99999619e-01
9.00009766e+01, 4.40000594e-01
9.00009003e+01, 4.80000019e-01
9.00013733e+01, 5.19999444e-01
9.00019760e+01, 5.59999049e-01
9.00022507e+01, 5.99999785e-01
9.00043793e+01, 6.39999151e-01
9.00062256e+01, 6.79998636e-01
9.00062637e+01, 7.19998240e-01
9.00054016e+01, 7.59998083e-01
9.00023422e+01, 7.99998939e-01
9.00012817e+01, 8.39998543e-01
9.00009079e+01, 8.79998565e-01
8.99976196e+01, 9.19998229e-01
8.99910660e+01, 9.59998667e-01
8.99861908e+01, 1.00000072e+00


