[Name]
Hub to Shroud Chart Line at Hub to Shroud Line

[Data]
Velocity Axial MCA on Hub to Shroud Line [ m s^-1 ],Span Normalized
1.61976776e+02, 1.09314002e-04
1.73219894e+02, 3.99479307e-02
1.86932037e+02, 8.00011754e-02
1.91199127e+02, 1.20033398e-01
1.94431503e+02, 1.60058096e-01
1.97175613e+02, 2.00080976e-01
1.99725555e+02, 2.39977673e-01
2.01575272e+02, 2.80002594e-01
2.02649399e+02, 3.20025980e-01
2.03380157e+02, 3.60049218e-01
2.03872849e+02, 4.00072336e-01
2.04221680e+02, 4.39973921e-01
2.04432373e+02, 4.79997098e-01
2.04425781e+02, 5.20020485e-01
2.04180695e+02, 5.60043871e-01
2.03684036e+02, 6.00067735e-01
2.02996429e+02, 6.39968395e-01
2.02407303e+02, 6.79992139e-01
2.01850815e+02, 7.20015764e-01
2.00898071e+02, 7.60039985e-01
1.99665466e+02, 8.00064683e-01
1.98797852e+02, 8.39962602e-01
1.97987457e+02, 8.79986882e-01
1.96815262e+02, 9.20011818e-01
1.84516052e+02, 9.60039735e-01
1.72857941e+02, 9.99932408e-01


