[Name]
Hub to Shroud Chart Line at Hub to Shroud Line

[Data]
Mach Number in Stn Frame MCA on Hub to Shroud Line,Span Normalized
4.98551100e-01, 1.09314002e-04
5.33280253e-01, 3.99479307e-02
5.75179100e-01, 8.00011754e-02
5.87326050e-01, 1.20033398e-01
5.96168101e-01, 1.60058096e-01
6.03698254e-01, 2.00080976e-01
6.10889912e-01, 2.39977673e-01
6.16215289e-01, 2.80002594e-01
6.19453311e-01, 3.20025980e-01
6.21992111e-01, 3.60049218e-01
6.24167085e-01, 4.00072336e-01
6.26258373e-01, 4.39973921e-01
6.28269792e-01, 4.79997098e-01
6.29906297e-01, 5.20020485e-01
6.31076157e-01, 5.60043871e-01
6.31654859e-01, 6.00067735e-01
6.31824970e-01, 6.39968395e-01
6.32516623e-01, 6.79992139e-01
6.33466482e-01, 7.20015764e-01
6.33067727e-01, 7.60039985e-01
6.31603420e-01, 8.00064683e-01
6.30941212e-01, 8.39962602e-01
6.29901946e-01, 8.79986882e-01
6.26872063e-01, 9.20011818e-01
5.90548813e-01, 9.60039735e-01
5.56190908e-01, 9.99932408e-01


