[Name]
Hub to Shroud Chart Line at Hub to Shroud Line

[Data]
Velocity MCA on Hub to Shroud Line [ m s^-1 ],Span Normalized
1.65444763e+02, 1.09314002e-04
1.76393387e+02, 3.99479307e-02
1.89552887e+02, 8.00011754e-02
1.93292007e+02, 1.20033398e-01
1.96004852e+02, 1.60058096e-01
1.98294067e+02, 2.00080976e-01
2.00491028e+02, 2.39977673e-01
2.02119781e+02, 2.80002594e-01
2.03107574e+02, 3.20025980e-01
2.03882874e+02, 3.60049218e-01
2.04545166e+02, 4.00072336e-01
2.05181351e+02, 4.39973921e-01
2.05792603e+02, 4.79997098e-01
2.06290955e+02, 5.20020485e-01
2.06647003e+02, 5.60043871e-01
2.06824677e+02, 6.00067735e-01
2.06876678e+02, 6.39968395e-01
2.07087692e+02, 6.79992139e-01
2.07376205e+02, 7.20015764e-01
2.07256897e+02, 7.60039985e-01
2.06815155e+02, 8.00064683e-01
2.06624054e+02, 8.39962602e-01
2.06309021e+02, 8.79986882e-01
2.05387726e+02, 9.20011818e-01
1.94098480e+02, 9.60039735e-01
1.83407120e+02, 9.99932408e-01


