[Name]
Hub to Shroud Chart Line at Hub to Shroud Line

[Data]
Velocity Flow Angle MCA on Hub to Shroud Line [ degree ],Span Normalized
1.47980850e+02, 2.78180778e-05
1.47780365e+02, 3.99907604e-02
1.47526016e+02, 8.00067559e-02
1.47434021e+02, 1.20011903e-01
1.47476074e+02, 1.60012156e-01
1.47588470e+02, 2.00009927e-01
1.47615143e+02, 2.40006909e-01
1.47690933e+02, 2.80002922e-01
1.47916946e+02, 3.19998652e-01
1.48201523e+02, 3.59994143e-01
1.48474060e+02, 3.99989367e-01
1.48735794e+02, 4.39984500e-01
1.48994644e+02, 4.79979455e-01
1.49287186e+02, 5.20028412e-01
1.49621796e+02, 5.60024023e-01
1.49968369e+02, 6.00019455e-01
1.50346970e+02, 6.40014827e-01
1.50760117e+02, 6.80010140e-01
1.51179718e+02, 7.20005333e-01
1.51609222e+02, 7.60000646e-01
1.52045532e+02, 7.99995899e-01
1.52470718e+02, 8.39990973e-01
1.52954056e+02, 8.79986227e-01
1.53628784e+02, 9.19981956e-01
1.55578354e+02, 9.59979057e-01
1.57128601e+02, 1.00002360e+00


