[Name]
Hub to Shroud Chart Line at Hub to Shroud Line

[Data]
Velocity in Stn Frame MCA on Hub to Shroud Line [ m s^-1 ],Span Normalized
1.71658264e+02, 2.78180778e-05
1.81068130e+02, 3.99907604e-02
1.92202942e+02, 8.00067559e-02
1.95281647e+02, 1.20011903e-01
1.97420135e+02, 1.60012156e-01
1.99070526e+02, 2.00009927e-01
2.00960602e+02, 2.40006909e-01
2.02577881e+02, 2.80002922e-01
2.03445206e+02, 3.19998652e-01
2.04064163e+02, 3.59994143e-01
2.04613556e+02, 3.99989367e-01
2.04990936e+02, 4.39984500e-01
2.05385162e+02, 4.79979455e-01
2.05639526e+02, 5.20028412e-01
2.05681396e+02, 5.60024023e-01
2.05734741e+02, 6.00019455e-01
2.05723297e+02, 6.40014827e-01
2.05614807e+02, 6.80010140e-01
2.05491608e+02, 7.20005333e-01
2.05169189e+02, 7.60000646e-01
2.04758911e+02, 7.99995899e-01
2.04762726e+02, 8.39990973e-01
2.04367126e+02, 8.79986227e-01
2.02398239e+02, 9.19981956e-01
1.90498993e+02, 9.59979057e-01
1.80011063e+02, 1.00002360e+00


