[Name]
Hub to Shroud Chart Line at Hub to Shroud Line

[Data]
Isentropic Compression Efficiency MCA on Hub to Shroud Line,Span Normalized
9.99175966e-01, 2.78180778e-05
9.99482393e-01, 3.99907604e-02
9.99643087e-01, 8.00067559e-02
9.99464154e-01, 1.20011903e-01
9.99427676e-01, 1.60012156e-01
9.99395728e-01, 2.00009927e-01
9.99321699e-01, 2.40006909e-01
9.99295831e-01, 2.80002922e-01
9.99385118e-01, 3.19998652e-01
9.99524653e-01, 3.59994143e-01
9.99621749e-01, 3.99989367e-01
9.99655306e-01, 4.39984500e-01
9.99667168e-01, 4.79979455e-01
9.99674261e-01, 5.20028412e-01
9.99675989e-01, 5.60024023e-01
9.99678195e-01, 6.00019455e-01
9.99697924e-01, 6.40014827e-01
9.99737024e-01, 6.80010140e-01
9.99772787e-01, 7.20005333e-01
9.99767303e-01, 7.60000646e-01
9.99726713e-01, 7.99995899e-01
9.99696851e-01, 8.39990973e-01
9.99652624e-01, 8.79986227e-01
9.99624491e-01, 9.19981956e-01
9.99652863e-01, 9.59979057e-01
9.99674380e-01, 1.00002360e+00


