[Name]
Hub to Shroud Chart Line at Hub to Shroud Line

[Data]
Pressure ACA on Hub to Shroud Line [ Pa ],Span Normalized
8.01337734e+04, 2.78180778e-05
8.01685469e+04, 3.99907604e-02
7.99224609e+04, 8.00067559e-02
7.92846797e+04, 1.20011903e-01
7.87420469e+04, 1.60012156e-01
7.83867813e+04, 2.00009927e-01
7.80335469e+04, 2.40006909e-01
7.77362656e+04, 2.80002922e-01
7.75651406e+04, 3.19998652e-01
7.74421406e+04, 3.59994143e-01
7.73305703e+04, 3.99989367e-01
7.72464375e+04, 4.39984500e-01
7.71688047e+04, 4.79979455e-01
7.71163125e+04, 5.20028412e-01
7.70970469e+04, 5.60024023e-01
7.70810781e+04, 6.00019455e-01
7.70567031e+04, 6.40014827e-01
7.70252188e+04, 6.80010140e-01
7.70058438e+04, 7.20005333e-01
7.70682266e+04, 7.60000646e-01
7.71938125e+04, 7.99995899e-01
7.72669219e+04, 8.39990973e-01
7.73209844e+04, 8.79986227e-01
7.74307891e+04, 9.19981956e-01
7.75600625e+04, 9.59979057e-01
7.76209922e+04, 1.00002360e+00


