[Name]
Hub to Shroud Chart Line at Hub to Shroud Line

[Data]
Temperature ACA on Hub to Shroud Line [ K ],Span Normalized
2.74532990e+02, 2.78180778e-05
2.72462097e+02, 3.99907604e-02
2.69937073e+02, 8.00067559e-02
2.69208862e+02, 1.20011903e-01
2.68797974e+02, 1.60012156e-01
2.68511047e+02, 2.00009927e-01
2.68191101e+02, 2.40006909e-01
2.67889038e+02, 2.80002922e-01
2.67652557e+02, 3.19998652e-01
2.67441589e+02, 3.59994143e-01
2.67277802e+02, 3.99989367e-01
2.67186218e+02, 4.39984500e-01
2.67117828e+02, 4.79979455e-01
2.67075958e+02, 5.20028412e-01
2.67067261e+02, 5.60024023e-01
2.67058228e+02, 6.00019455e-01
2.66996490e+02, 6.40014827e-01
2.66879883e+02, 6.80010140e-01
2.66781494e+02, 7.20005333e-01
2.66839172e+02, 7.60000646e-01
2.67014954e+02, 7.99995899e-01
2.67087677e+02, 8.39990973e-01
2.67230164e+02, 8.79986227e-01
2.67709503e+02, 9.19981956e-01
2.70196716e+02, 9.59979057e-01
2.72357147e+02, 1.00002360e+00


