[Name]
Hub to Shroud Chart Line at Hub to Shroud Line

[Data]
Velocity Circumferential MCA on Hub to Shroud Line [ m s^-1 ],Span Normalized
-2.87291229e+02, 2.78180778e-05
-2.90806702e+02, 3.99907604e-02
-2.96892120e+02, 8.00067559e-02
-3.01587433e+02, 1.20011903e-01
-3.06244171e+02, 1.60012156e-01
-3.10778595e+02, 2.00009927e-01
-3.14472626e+02, 2.40006909e-01
-3.18187195e+02, 2.80002922e-01
-3.22470825e+02, 3.19998652e-01
-3.26979370e+02, 3.59994143e-01
-3.31176880e+02, 3.99989367e-01
-3.34934845e+02, 4.39984500e-01
-3.38561859e+02, 4.79979455e-01
-3.42330627e+02, 5.20028412e-01
-3.46272247e+02, 5.60024023e-01
-3.50309692e+02, 6.00019455e-01
-3.54816956e+02, 6.40014827e-01
-3.59820679e+02, 6.80010140e-01
-3.64835052e+02, 7.20005333e-01
-3.69459717e+02, 7.60000646e-01
-3.73977844e+02, 7.99995899e-01
-3.79652313e+02, 8.39990973e-01
-3.85726746e+02, 8.79986227e-01
-3.92248047e+02, 9.19981956e-01
-3.99173615e+02, 9.59979057e-01
-4.02342743e+02, 1.00002360e+00


