[Name]
Hub to Shroud Chart Line at Hub to Shroud Line

[Data]
Mach Number MCA on Hub to Shroud Line,Span Normalized
6.33952200e-01, 2.05031029e-05
6.84171200e-01, 3.99865434e-02
7.42403269e-01, 7.99938291e-02
7.55328059e-01, 1.19999625e-01
7.65546441e-01, 1.60003632e-01
7.76300550e-01, 2.00006813e-01
7.87337303e-01, 2.40009159e-01
7.97844112e-01, 2.80011445e-01
8.07160199e-01, 3.20013463e-01
8.16246390e-01, 3.60015273e-01
8.24774384e-01, 4.00017202e-01
8.32149565e-01, 4.40018862e-01
8.39338481e-01, 4.80020463e-01
8.46114159e-01, 5.19993007e-01
8.52245569e-01, 5.59994638e-01
8.58311892e-01, 5.99996448e-01
8.64600182e-01, 6.39998198e-01
8.71118426e-01, 6.80000305e-01
8.77561927e-01, 7.20001817e-01
8.83205295e-01, 7.60003567e-01
8.88149917e-01, 8.00005436e-01
8.93162787e-01, 8.40006948e-01
8.95673990e-01, 8.80008996e-01
8.87878537e-01, 9.20010924e-01
8.55307698e-01, 9.60013211e-01
8.30489159e-01, 9.99985456e-01


