[Name]
Hub to Shroud Chart Line at Hub to Shroud Line

[Data]
Total Pressure in Stn Frame MCA on Hub to Shroud Line [ Pa ],Span Normalized
1.56518578e+05, 2.05031029e-05
1.56487297e+05, 3.99865434e-02
1.55798016e+05, 7.99938291e-02
1.54631281e+05, 1.19999625e-01
1.53833656e+05, 1.60003632e-01
1.53354750e+05, 2.00006813e-01
1.53026500e+05, 2.40009159e-01
1.52829469e+05, 2.80011445e-01
1.52761156e+05, 3.20013463e-01
1.52758438e+05, 3.60015273e-01
1.52867891e+05, 4.00017202e-01
1.53117156e+05, 4.40018862e-01
1.53423797e+05, 4.80020463e-01
1.53861219e+05, 5.19993007e-01
1.54450281e+05, 5.59994638e-01
1.55088609e+05, 5.99996448e-01
1.55848656e+05, 6.39998198e-01
1.56735625e+05, 6.80000305e-01
1.57693594e+05, 7.20001817e-01
1.58925313e+05, 7.60003567e-01
1.60443625e+05, 8.00005436e-01
1.62174188e+05, 8.40006948e-01
1.63980156e+05, 8.80008996e-01
1.64024563e+05, 9.20010924e-01
1.58326406e+05, 9.60013211e-01
1.53450234e+05, 9.99985456e-01


